id;station
328;ste-marie-sur-ms-pl-.cdg
329;bressuire
330;tessonnières
331;le-verdon
332;janzé
333;montivilliers
334;quimperlé
335;rambervillers
336;dives-cabourg
337;grandris-centre
338;paimpol
339;la-rochelle-pt-dauphine
340;breil-sur-roya
341;chaumont
342;mirecourt (lycée agric)
343;vierzon
344;montmédy
345;sancerre-porte-cesar
346;mussidan
347;kehl
348;bordeaux-st-jean
349;pagny-sur-moselle
350;brest
351;lille europe
352;nogent-le-rotrou
353;ste-pazanne
354;ingwiller
355;lyon-gorge-de-loup
356;la tour-du-pin
357;bedous
358;givet
359;châteaubriant-tt
360;biel
361;hattmatt-s.-polyvalente
362;poule-mairie
363;pont-de-dore
364;poligny
365;briouze
366;sérézin
367;verdun
368;saint-etienne-chtx gr
369;luneville-lp
370;dinan
371;mirecourt
372;avignon-tgv
373;agen
374;busigny
375;sain-bel
376;bening
377;condat-le-lardin
378;valence-gare-routière
379;connerré-beillé
380;hazebrouck
381;albert
382;lorient
383;boën
384;neufchateau-lp
385;valence-tgv
386;cannes
387;savenay
388;bouxwiller-babenhausen
389;la bastide-st-laurent
390;veynes-dévoluy
391;dourdan
392;namur
393;carol
394;barentonâ cel
395;château-thierry
396;montbéliard-ville
397;bayonne
398;lièpvre-(rte-vancelle)
399;rue
400;brou
401;privas-cours-du-palais
402;bettembourg
403;laval
404;vittel
405;argentan
406;souillac
407;montmélian
408;dole-ville
409;bonneville
410;massiac-blesle
411;droué (centre)
412;latour-de-carol-enveitg
413;herbitzheim mairie
414;montréjeau-gourdan-pol.
415;avesnes
416;carmaux
417;bort-les-orgues
418;st-pierre-d'albigny
419;avignon-centre
420;romorantin-blanc-argent
421;monaco-monte-carlo
422;ville-sous-la-ferté
423;manosque-gréoux
424;nort-sur-erdre
425;mouscron / moeskroen
426;modane
427;moyen
428;laissac-foirail
429;saverne-(lycée-verne)
430;is-sur-tille
431;tourcoing
432;gérardmer la mauselaine
433;martigues
434;le havre
435;valençay
436;thouars
437;aulnoye aymeries
438;monsempron-libos
439;st-marcellin
440;le creusot
441;vendôme
442;pompadour
443;herrlisheim (bas-rhin)
444;chalon-sur-saône
445;charleville-mézières
446;châlons-en-champagne
447;aix-gare-routière
448;neuwiller-r.-bouxwiller
449;liepvre-(-r.-guth-)
450;luchon-richelieu
451;courtalain-centre
452;la-bresse (pl champtel)
453;luxembourg
454;feurs
455;dompierre-halte-rout.
456;bidos
457;wambrechies
458;poitiers-gare-routière
459;nexon
460;st-flour-chaudes-aigues
461;bayel-eglise
462;alès
463;culoz
464;st-george-d'aurac-bourg
465;moûtiers-salins-brides
466;perl gare db
467;antibes
468;juvancourt
