;nom;name
202;Espagne;Spain
203;Sahara Occidental;Western Sahara
204;Soudan;Sudan
205;Suriname;Suriname
206;Svalbard etÎle Jan Mayen;Svalbard and Jan Mayen
207;Swaziland;Swaziland
208;Suède;Sweden
209;Suisse;Switzerland
210;République Arabe Syrienne;Syrian Arab Republic
211;Tadjikistan;Tajikistan
212;Thaïlande;Thailand
213;Togo;Togo
214;Tokelau;Tokelau
215;Tonga;Tonga
216;Trinité-et-Tobago;Trinidad and Tobago
217;Émirats Arabes Unis;United Arab Emirates
218;Tunisie;Tunisia
219;Turquie;Turkey
220;Turkménistan;Turkmenistan
221;Îles Turks et Caïques;Turks and Caicos Islands
222;Tuvalu;Tuvalu
223;Ouganda;Uganda
224;Ukraine;Ukraine
225;L'ex-République Yougoslave de Macédoine;The Former Yugoslav Republic of Macedonia
226;Égypte;Egypt
227;Royaume-Uni;United Kingdom
228;Île de Man;Isle of Man
229;République-Unie de Tanzanie;United Republic Of Tanzania
230;États-Unis;United States
231;Îles Vierges des États-Unis;U.S. Virgin Islands
232;Burkina Faso;Burkina Faso
233;Uruguay;Uruguay
234;Ouzbékistan;Uzbekistan
235;Venezuela;Venezuela
236;Wallis et Futuna;Wallis and Futuna
237;Samoa;Samoa
238;Yémen;Yemen
239;Serbie-et-Monténégro;Serbia and Montenegro
240;Zambie;Zambia
241;Europe;Europe
242;Afrique;Africa
243;Asie;Asia
244;Amerique;America
245;Océanie;Oceania
